rank,tier,name,url,gold,silver,bronze,points,country,region,city,occupation,organization,YM,name_id,rank_name_id,latest_rank
267,expert,Eule,https://www.kaggle.com/eulenator,1,0,1,24234,Germany,Baden-Württemberg,Ulm,Software-Engineer,UNKOWN,2022-09,Eule (eulenator),[Rank: 315] Eule (eulenator),315.0
268,master,Luca Massaron,https://www.kaggle.com/lucamassaron,4,38,45,24208,Italy,Veneto,Verona,Data Science & Modelling Senior Expert,illimity Bank,2022-09,Luca Massaron (lucamassaron),[Rank: 317] Luca Massaron (lucamassaron),317.0
269,master,Ioannis M,https://www.kaggle.com/imeintanis,2,9,4,24196,Greece,UNKOWN,Athens,Lead Data Scientist,CORE-INNOVATION,2022-09,Ioannis M (imeintanis),[Rank: 284] Ioannis M (imeintanis),284.0
270,master,kyazuki,https://www.kaggle.com/kyazuki,3,4,2,24111,Japan,Tokyo,Tokyo,Data Scientist,DeNA,2022-09,kyazuki (kyazuki),[Rank: 319] kyazuki (kyazuki),319.0
271,master,atfujita,https://www.kaggle.com/atsunorifujita,2,13,3,24059,Japan,Kanagawa,Yokohama,Data Scientist,🚗,2022-09,atfujita (atsunorifujita),[Rank: 321] atfujita (atsunorifujita),321.0
272,master,عثمان,https://www.kaggle.com/authman,1,13,8,23918,United States,Texas,Irving,ML Underperformer,Meta | Healthtech,2022-09,عثمان (authman),[Rank: 322] عثمان (authman),322.0
273,master,teyosan1229,https://www.kaggle.com/teyosan1229,1,2,3,23860,Japan,Aichi,Nagoya,engineer,General companies,2022-09,teyosan1229 (teyosan1229),[Rank: 304] teyosan1229 (teyosan1229),304.0
274,expert,Vijay,https://www.kaggle.com/watzisname,0,7,6,23681,India,Karnataka,Bengaluru,UNKOWN,Bangalore,2022-09,Vee (watzisname),[Rank: 295] Vee (watzisname),295.0
275,grandmaster,Weimin Wang,https://www.kaggle.com/weimin,12,10,4,23435,United States,Massachusetts,Boston,UNKOWN,UNKOWN,2022-09,Weimin Wang (weimin),[Rank: 332] Weimin Wang (weimin),332.0
276,master,老肥,https://www.kaggle.com/librauee,1,3,1,23411,China,Zhejiang,Zhoushan,Student,Caliton University,2022-09,老肥 (librauee),[Rank: 324] 老肥 (librauee),324.0
277,master,Ducky,https://www.kaggle.com/illgamhoduck,2,3,1,23333,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-09,Ducky (illgamhoduck),[Rank: 335] Ducky (illgamhoduck),335.0
278,master,yokuyama,https://www.kaggle.com/yokuyama,1,3,2,23326,Japan,Kanagawa,Yokohama,UNKOWN,UNKOWN,2022-09,yokuyama (yokuyama),[Rank: 224] yokuyama (yokuyama),224.0
279,master,Yiemon773,https://www.kaggle.com/yoichi7yamakawa,3,9,3,23262,Japan,Tokyo,Tokyo,Engineer,Preferred Networks,2022-09,Yiemon773 (yoichi7yamakawa),[Rank: 330] Yiemon773 (yoichi7yamakawa),330.0
280,master,Mickey,https://www.kaggle.com/symyksr,3,24,12,23229,Japan,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-09,Mickey (symyksr),[Rank: 338] Mickey (symyksr),338.0
281,expert,Akash,https://www.kaggle.com/ak0210,0,4,3,23228,India,Tamil Nadu,Chennai,Student,Anna University,2022-09,Akash (ak0210),[Rank: 339] Akash (ak0210),339.0
282,master,yurain,https://www.kaggle.com/hugoluo,2,9,5,23181,China,Beijing,Beijing,Kaggle,Company,2022-09,yurain (hugoluo),[Rank: 340] yurain (hugoluo),340.0
283,master,Shun_PI,https://www.kaggle.com/shunrcn,2,7,1,23159,Japan,Tokyo,Tokyo,Data Scientist,THIRD INC.,2022-09,Shun_PI (shunrcn),[Rank: 266] Shun_PI (shunrcn),266.0
284,master,NIWATORI,https://www.kaggle.com/niwatori,4,6,1,23143,Japan,Tokyo,Tokyo,Software Engineer,"Recruit Co., Ltd.",2022-09,NIWATORI (niwatori),[Rank: 341] NIWATORI (niwatori),341.0
285,expert,Robert Sturrock,https://www.kaggle.com/robertsturrock,1,1,0,23017,United Kingdom,England,London,Analyst,Bank of England,2022-09,Robert Sturrock (robertsturrock),[Rank: 344] Robert Sturrock (robertsturrock),344.0
286,master,Denis Kanonik,https://www.kaggle.com/denisbsu,1,2,1,23009,Belarus,Minsk Region,Minsk,Head of department,Stealth Startup,2022-09,Denis Kanonik (denisbsu),[Rank: 345] Denis Kanonik (denisbsu),345.0
287,expert,Boooooooooow,https://www.kaggle.com/booooooow,1,1,0,22841,United States,Iowa,Cedar Falls,MLE,🎵,2022-09,Boooooooooow (booooooow),[Rank: 348] Boooooooooow (booooooow),348.0
288,master,Mobassir,https://www.kaggle.com/mobassir,1,13,11,22810,Bangladesh,Dhaka Division,Dhaka,Interested in computer vision for biomedical imaging,kaggle,2022-09,Mobassir (mobassir),[Rank: 349] Mobassir (mobassir),349.0
289,expert,SeshuRajuP 🧘‍♂️,https://www.kaggle.com/seshurajup,0,8,6,22753,India,Telangana,Hyderabad,Senior Engineering Manager,Dolcera,2022-09,SeshuRajuP 🧘‍♂️ (seshurajup),[Rank: 303] SeshuRajuP 🧘‍♂️ (seshurajup),303.0
290,expert,omarsamir,https://www.kaggle.com/osamir,0,4,6,22722,Egypt,Cairo Governorate,Cairo,UNKOWN,UNKOWN,2022-09,omarsamir (osamir),[Rank: 331] omarsamir (osamir),331.0
291,master,mark4h,https://www.kaggle.com/mark4h,3,5,2,22704,United Kingdom,England,Bracknell,Data Scientist, ,2022-09,mark4h (mark4h),[Rank: 354] mark4h (mark4h),354.0
292,expert,Hossein Masoumi Karakani,https://www.kaggle.com/hossein2015,0,2,2,22581,South Africa,Gauteng,Pretoria,Data Scientist ,UP,2022-09,Hossein Masoumi Karakani (hossein2015),[Rank: 263] Hossein Masoumi Karakani (hossein2015),263.0
293,expert,isaac in,https://www.kaggle.com/haplophyrne,0,3,6,22495,United States,Arizona,Scottsdale,Undergrad,Purdue,2022-09,isaac in (haplophyrne),[Rank: 316] isaac in (haplophyrne),316.0
294,grandmaster,Liao,https://www.kaggle.com/alexanderliao,7,11,4,22402,United States,Florida,Miami,Machine Learning,Praxis Pioneering,2022-09,Liao (alexanderliao),[Rank: 350] Liao (alexanderliao),350.0
295,master,Zacchaeus,https://www.kaggle.com/zacchaeus,3,1,0,22313,United States,Pennsylvania,Pittsburgh,UNKOWN,UNKOWN,2022-09,Zacchaeus (zacchaeus),[Rank: 362] Zacchaeus (zacchaeus),362.0
296,master,lingyundev,https://www.kaggle.com/lingyundev,9,2,0,22311,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-09,lingyundev (lingyundev),[Rank: 328] lingyundev (lingyundev),328.0
297,master,yuanzhe zhou,https://www.kaggle.com/yuanzhezhou,1,2,2,22311,China,Hubei,Wuhan,ml engineer,UNKOWN,2022-09,yuanzhe zhou (yuanzhezhou),[Rank: 243] yuanzhe zhou (yuanzhezhou),243.0
298,master,qyxs,https://www.kaggle.com/juzqyxs,2,5,0,22301,China,Shanghai,Shanghai,UNKOWN,Here,2022-09,qyxs (juzqyxs),[Rank: 364] qyxs (juzqyxs),364.0
299,grandmaster,Branden Murray,https://www.kaggle.com/brandenkmurray,8,21,5,22155,United States,California,UNKOWN,Data Scientist,h2o.ai,2022-09,Branden Murray (brandenkmurray),[Rank: 352] Branden Murray (brandenkmurray),352.0
300,master,xie,https://www.kaggle.com/crabapple,7,4,1,22058,China,Shanghai,Shanghai,Engineer,agora.io,2022-09,xie (crabapple),[Rank: 333] xie (crabapple),333.0
301,grandmaster,Fatih Ozturk,https://www.kaggle.com/fatihozturk,8,7,3,22015,Turkey,Istanbul,Istanbul,Data Scientist,H2O,2022-09,Fatih Ozturk (fatihozturk),[Rank: 370] Fatih Ozturk (fatihozturk),370.0
302,master,Nguyen Quan Anh Minh,https://www.kaggle.com/dathudeptrai,1,4,1,21999,Vietnam,Ho Chi Minh City,Ho Chi Minh City,AI Engineer,Zalo,2022-09,Nguyen Quan Anh Minh (dathudeptrai),[Rank: 356] Nguyen Quan Anh Minh (dathudeptrai),356.0
303,grandmaster,pudae,https://www.kaggle.com/pudae81,7,7,2,21957,South Korea,Seoul,Seoul,Software Engineer, Home,2022-09,pudae (pudae81),[Rank: 372] pudae (pudae81),372.0
304,master,vialactea,https://www.kaggle.com/vialactea,1,3,2,21915,United States,Illinois,Chicago,Lead  analytics consultant,  ,2022-09,vialactea (vialactea),[Rank: 373] vialactea (vialactea),373.0
305,expert,mirosia koval,https://www.kaggle.com/mirosiakoval,0,2,6,21831,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-09,mirosia koval (mirosiakoval),[Rank: 363] mirosia koval (mirosiakoval),363.0
306,master,SiNpcw,https://www.kaggle.com/sinpcw,4,10,1,21797,Japan,Kanagawa,Yokohama,Researcher,nssol,2022-09,SiNpcw (sinpcw),[Rank: 186] SiNpcw (sinpcw),186.0
307,expert,Mark Conway,https://www.kaggle.com/mconway,0,1,5,21781,United States,UNKOWN,UNKOWN,Data Scientist,Scottfree Analytics,2022-09,Mark Conway (mconway),[Rank: 374] Mark Conway (mconway),374.0
308,grandmaster,nosound,https://www.kaggle.com/zaharch,6,5,2,21753,Israel,Haifa District,Haifa,Ph.D. student,Technion,2022-09,nosound (zaharch),[Rank: 376] nosound (zaharch),376.0
309,expert,yukiZ,https://www.kaggle.com/hideyukizushi,0,9,7,21735,Japan,Tokyo,Tokyo,Tokyo,Japan,2022-09,yukiZ (hideyukizushi),[Rank: 278] yukiZ (hideyukizushi),278.0
310,master,Sugawarya,https://www.kaggle.com/sugawarya,3,11,12,21725,Japan,Tokyo,Tokyo,Kaggler,"DeNA Co., Ltd",2022-09,Sugawarya (sugawarya),[Rank: 329] Sugawarya (sugawarya),329.0
311,master,kuro_B,https://www.kaggle.com/kurokurob,3,1,1,21722,Japan,Chiba,Chiba,engneer,XXX,2022-09,kuro_B (kurokurob),[Rank: 377] kuro_B (kurokurob),377.0
312,master,esprit,https://www.kaggle.com/takuji,1,6,6,21662,Japan,Chiba,Chiba,Data Scientist,KDDI,2022-09,esprit (takuji),[Rank: 355] esprit (takuji),355.0
313,expert,ricopue,https://www.kaggle.com/ricopue,1,1,1,21583,Spain,Valencian Community,Alicante,Kaggle Student, spain,2022-09,ricopue (ricopue),[Rank: 368] ricopue (ricopue),368.0
314,expert,viewlagoon,https://www.kaggle.com/viewlagoon,2,0,0,21532,Japan,Tokyo,Tokyo,UNKOWN,Bandai Namco Research Inc.,2022-09,viewlagoon (viewlagoon),[Rank: 380] viewlagoon (viewlagoon),380.0
315,master,Art,https://www.kaggle.com/artkulak,1,4,4,21518,Turkey,İstanbul,İstanbul,Founder,ArtLabs,2022-09,Art Kulakov (artkulak),[Rank: 381] Art Kulakov (artkulak),381.0
316,master,Elahi,https://www.kaggle.com/mmelahi,1,5,6,21480,India,Telangana,Miryalaguda,UNKOWN,UNKOWN,2022-09,Elahi (mmelahi),[Rank: 223] Elahi (mmelahi),223.0
317,master,hoxosh,https://www.kaggle.com/cashfeg,4,18,7,21467,Japan,Tokyo,Shibuya City,General Manager of Data Science Dept. ,DeNA,2022-09,hoxosh (cashfeg),[Rank: 382] hoxosh (cashfeg),382.0
318,expert,Bilbo Baggins,https://www.kaggle.com/bilbobaggins123,0,5,15,21454,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-09,Bilbo Baggins (bilbobaggins123),[Rank: 383] Bilbo Baggins (bilbobaggins123),383.0
319,master,Evgenii Kononenko,https://www.kaggle.com/lenny27,3,4,0,21414,Russia,UNKOWN,Moscow,UNKOWN,UNKOWN,2022-09,Evgenii Kononenko (lenny27),[Rank: 367] Evgenii Kononenko (lenny27),367.0
320,master,Jan Bre,https://www.kaggle.com/jpbremer,3,6,6,21413,Germany,Hamburg,Hamburg,MD Student,UKE,2022-09,Jan Bre (jpbremer),[Rank: 385] Jan Bre (jpbremer),385.0
321,expert,Old Monk,https://www.kaggle.com/saurabhbagchi,0,0,3,21411,India,Uttar Pradesh,Lucknow,Student,"University of Texas, Austin",2022-09,Old Monk (saurabhbagchi),[Rank: 277] Old Monk (saurabhbagchi),277.0
322,grandmaster,MPWARE,https://www.kaggle.com/mpware,5,9,2,21365,France,Occitanie,Toulouse,data-scientist,private company,2022-09,MPWARE (mpware),[Rank: 387] MPWARE (mpware),387.0
323,master,Aishik Rakshit,https://www.kaggle.com/aishikai,1,2,3,21364,India,West Bengal,Kolkata,EEE Pre-Final Yearite,IIT Guwahati,2022-09,Aishik Rakshit (aishikai),[Rank: 342] Aishik Rakshit (aishikai),342.0
324,grandmaster,KaizaburoChubachi,https://www.kaggle.com/zaburo,5,5,1,21349,Japan,Tokyo,Tokyo,Engineer,Preferred Networks,2022-09,KaizaburoChubachi (zaburo),[Rank: 388] KaizaburoChubachi (zaburo),388.0
325,expert,takaito,https://www.kaggle.com/takaito,0,2,3,21320,Japan,Tokyo,Tokyo,UNKOWN,UNKOWN,2022-09,takaito (takaito),[Rank: 336] takaito (takaito),336.0
326,expert,Igor Lashkov,https://www.kaggle.com/igorlashkov,2,0,1,21304,United States,Hawaii,Honolulu,PostDoc,University of Hawaii,2022-09,Igor Lashkov (igorlashkov),[Rank: 258] Igor Lashkov (igorlashkov),258.0
327,master,Heng Zheng,https://www.kaggle.com/hengzheng,2,9,3,21295,China,Guangdong Province,Guangzhou,Newbie,ML,2022-09,Heng Zheng (hengzheng),[Rank: 312] Heng Zheng (hengzheng),312.0
328,master,JohnM,https://www.kaggle.com/jpmiller,1,10,21,21283,United States,Texas,Fort Worth,Customer Data Scientist,H2O.ai,2022-09,JohnM (jpmiller),[Rank: 390] JohnM (jpmiller),390.0
329,master,copasta,https://www.kaggle.com/copasta,2,7,5,21271,Japan,Tokyo,Tokyo,ML Engineer,hoge,2022-09,copasta (copasta),[Rank: 391] copasta (copasta),391.0
330,master,GFHS,https://www.kaggle.com/cwellszhang,3,2,1,21269,China,Shanghai,Shanghai,Guy,SJTU,2022-09,GFHS (cwellszhang),[Rank: 371] GFHS (cwellszhang),371.0
331,expert,Hiroshi Sakiyama,https://www.kaggle.com/hiroshisakiyama,0,1,4,21260,Japan,Yamagata,Yamagata,prof,YU,2022-09,Hiroshi Sakiyama (hiroshisakiyama),[Rank: 297] Hiroshi Sakiyama (hiroshisakiyama),297.0
332,master,RunningZ,https://www.kaggle.com/runningz,2,7,8,21258,China,Beijing,Beijing,Master,BUAA,2022-09,RunningZ (runningz),[Rank: 392] RunningZ (runningz),392.0
333,master,Matthieu Planté,https://www.kaggle.com/matthieuplante,2,3,0,21177,France,Île-de-France,Paris,Machine Learning Engineer,Omnitech,2022-09,Matthieu Planté (matthieuplante),[Rank: 393] Matthieu Planté (matthieuplante),393.0
334,master,hakubishin3,https://www.kaggle.com/shuheigoda,3,8,0,21084,Japan,Tokyo,Tokyo,Data Scientist,"Wantedly, inc.",2022-09,hakubishin3 (shuheigoda),[Rank: 396] hakubishin3 (shuheigoda),396.0
335,master,Hogg AP,https://www.kaggle.com/hoanganhpham,3,5,0,20996,Vietnam,Ho Chi Minh City,Ho Chi Minh City,UNKOWN,UNKOWN,2022-09,Hogg AP (hoanganhpham),[Rank: 313] Hogg AP (hoanganhpham),313.0
336,master,coolz,https://www.kaggle.com/cooolz,3,5,3,20911,China,Beijing,Beijing,UNKOWN,UNKOWN,2022-09,coolz (cooolz),[Rank: 365] coolz (cooolz),365.0
337,master,Alexander,https://www.kaggle.com/alexander1980,1,4,0,20884,Russia,UNKOWN,Moscow,NLP,No Info,2022-09,Alexander (alexander1980),[Rank: 397] Alexander (alexander1980),397.0
338,master,Bruce Young,https://www.kaggle.com/mutantspore,1,3,2,20881,United States,Florida,Hudson,Potato stacker,a Supermarket,2022-09,Bruce Young (mutantspore),[Rank: 379] Bruce Young (mutantspore),379.0
339,master,xsong2020,https://www.kaggle.com/xstargate,1,8,1,20799,Canada,Ontario,Toronto,Freelancer,Data Science,2022-09,xsong2020 (xstargate),[Rank: 272] xsong2020 (xstargate),272.0
340,master,huiqin,https://www.kaggle.com/qinhui1999,6,8,12,20781,China,Guangdong Province,Shenzhen,freelancer,ml research,2022-09,huiqin (qinhui1999),[Rank: 399] huiqin (qinhui1999),399.0
341,grandmaster,SeuTao,https://www.kaggle.com/shentao,11,4,2,20775,China,Guangdong Province,Shenzhen,DATA SCIENCE,HOME,2022-09,SeuTao (shentao),[Rank: 400] SeuTao (shentao),400.0
342,master,Vadim Timakin,https://www.kaggle.com/vadimtimakin,1,2,6,20748,United States,Michigan,Detroit,Freshman,National University of Science and Technology MISiS,2022-09,Vadim Timakin (vadimtimakin),[Rank: 403] Vadim Timakin (vadimtimakin),403.0
343,master,Hengw Dai,https://www.kaggle.com/hengwdai,1,6,1,20632,China,Guangdong Province,Guangzhou,Engineer,China Telecom,2022-09,Hengw Dai (hengwdai),[Rank: 405] Hengw Dai (hengwdai),405.0
344,grandmaster,Shai,https://www.kaggle.com/sgalib,5,15,3,20612,United States,Texas,Austin,UNKOWN,H2O.ai,2022-09,Shai (sgalib),[Rank: 290] Shai (sgalib),290.0
345,master,Igor Krashenyi,https://www.kaggle.com/igorkrashenyi,5,14,5,20537,Ukraine,UNKOWN,Kyiv,Research Engineer,UNKOWN,2022-09,Igor Krashenyi (igorkrashenyi),[Rank: 143] Igor Krashenyi (igorkrashenyi),143.0
346,master,shinmura0,https://www.kaggle.com/shinmurashinmura,1,3,2,20524,Japan,Nagano,Nagano,Anomaly detection engineer,Industrial field,2022-09,shinmura0 (shinmurashinmura),[Rank: 411] shinmura0 (shinmurashinmura),411.0
347,expert,Minh Phan,https://www.kaggle.com/minhnhatphan,1,0,1,20434,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-09,Minh Phan (minhnhatphan),[Rank: 415] Minh Phan (minhnhatphan),415.0
348,master,SeongHun Jeong,https://www.kaggle.com/sunghun,2,6,0,20408,South Korea,Gyeonggi-do,Seongnam-si,DeepLearning Reasearcher,KakaoBank,2022-09,SeongHun Jeong (sunghun),[Rank: 416] SeongHun Jeong (sunghun),416.0
349,master,Naoism,https://www.kaggle.com/naoism,2,5,3,20396,Japan,Tokyo,Tokyo,Reseacher,"Hitachi, Ltd.",2022-09,Naoism (naoism),[Rank: 417] Naoism (naoism),417.0
350,master,AnhMeow,https://www.kaggle.com/seb6084,2,4,1,20347,France,Île-de-France,Paris,Data Scientist,Home,2022-09,AnhMeow (seb6084),[Rank: 420] AnhMeow (seb6084),420.0
351,master,Li Sixin,https://www.kaggle.com/neomaoro,1,7,1,20332,China,Guangdong Province,Guangzhou,student,SCAU,2022-09,Enzo (neomaoro),[Rank: 326] Enzo (neomaoro),326.0
352,master,Minh Tri Phan,https://www.kaggle.com/shinomoriaoshi,1,8,0,20330,Switzerland,St. Gallen,St. Gallen,Research Assistant,University of St.Gallen,2022-09,Minh Tri Phan (shinomoriaoshi),[Rank: 421] Minh Tri Phan (shinomoriaoshi),421.0
353,master,Maxwell,https://www.kaggle.com/maxwell110,3,7,0,20308,Japan,Tokyo,Tokyo,"Chief Data Scientist, Actuary","AXA Life Insurance Co., Ltd",2022-09,Maxwell (maxwell110),[Rank: 423] Maxwell (maxwell110),423.0
354,grandmaster,mamas,https://www.kaggle.com/mamasinkgs,5,0,0,20286,Japan,Tokyo,Tokyo,none ,kgs go server,2022-09,mamas (mamasinkgs),[Rank: 424] mamas (mamasinkgs),424.0
355,master,Vincent Schuler,https://www.kaggle.com/vincentschuler,1,2,2,20264,France,Grand Est,Strasbourg,Data Scientist,Crédit-Mutuel,2022-09,Vincent Schuler (vincentschuler),[Rank: 426] Vincent Schuler (vincentschuler),426.0
356,master,Jacoby Jaeger,https://www.kaggle.com/jacobyjaeger,1,3,0,20244,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-09,Jacoby Jaeger (jacobyjaeger),[Rank: 230] Jacoby Jaeger (jacobyjaeger),230.0
357,master,Yirun Zhang,https://www.kaggle.com/gogo827jz,1,4,3,20175,United Kingdom,England,London,Quantitative Researcher,Jane Street,2022-09,Yirun Zhang (gogo827jz),[Rank: 428] Yirun Zhang (gogo827jz),428.0
358,grandmaster,Yuanhao,https://www.kaggle.com/wuyhbb,8,10,6,20115,China,Shanghai,Shanghai,Engineer,Newsbreak,2022-09,Yuanhao (wuyhbb),[Rank: 431] Yuanhao (wuyhbb),431.0
359,master,213tubo,https://www.kaggle.com/tubotubo,2,3,1,20105,Japan,Ibaraki,Tsukuba,B4 College student,University of Tsukuba,2022-09,213tubo (tubotubo),[Rank: 432] 213tubo (tubotubo),432.0
360,grandmaster,Oleg Yaroshevskiy,https://www.kaggle.com/yaroshevskiy,5,14,1,20073,Ukraine,UNKOWN,Kyiv,Data Scientist,Stealth Mode Startup,2022-09,Oleg Yaroshevskiy (yaroshevskiy),[Rank: 433] Oleg Yaroshevskiy (yaroshevskiy),433.0
361,expert,John Doe Jr.,https://www.kaggle.com/jdj040,1,0,1,20053,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-09,John Doe Jr. (jdj040),[Rank: 434] John Doe Jr. (jdj040),434.0
362,master,namakemono,https://www.kaggle.com/namakemono,1,3,7,19923,Japan,Tokyo,Tokyo,Engineer,MNES,2022-09,namakemono (namakemono),[Rank: 436] namakemono (namakemono),436.0
363,master,OrKatz,https://www.kaggle.com/orkatz2,2,7,6,19908,Israel,Tel Aviv District,Tel Aviv-Yafo,Kaggler,Kaggle,2022-09,OrKatz (orkatz2),[Rank: 410] OrKatz (orkatz2),410.0
364,expert,Chia-Ta Tsai,https://www.kaggle.com/cttsai,0,4,8,19864,United States,New York,New York,Data Scientist,a stealth Fintech startup,2022-09,Chia-Ta Tsai (cttsai),[Rank: 375] Chia-Ta Tsai (cttsai),375.0
365,master,zakopuro,https://www.kaggle.com/zakopur0,1,7,2,19829,Japan,Tokyo,Tokyo,Data Scientist,Japan,2022-09,zakopuro (zakopur0),[Rank: 438] zakopuro (zakopur0),438.0
366,expert,Hamish,https://www.kaggle.com/hamishdickson,0,8,4,19826,United Kingdom,England,London,Staff Data Scientist,Sprout.ai,2022-09,Hamish (hamishdickson),[Rank: 439] Hamish (hamishdickson),439.0
367,grandmaster,chlxyd,https://www.kaggle.com/chlxyd,6,13,1,19726,China,Beijing,Beijing,RSDE,Autra.tech,2022-09,chlxyd (chlxyd),[Rank: 440] chlxyd (chlxyd),440.0
368,expert,Jagadish Sivakumar,https://www.kaggle.com/jagadish13,0,5,7,19709,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-09,Jagadish Sivakumar (jagadish13),[Rank: 323] Jagadish Sivakumar (jagadish13),323.0
369,master,Kelvin,https://www.kaggle.com/xyzdivergence,3,2,2,19699,Singapore,UNKOWN,Singapore,Data Scientist,UNKOWN,2022-09,Kelvin (xyzdivergence),[Rank: 442] Kelvin (xyzdivergence),442.0
370,master,Rainbow Cat,https://www.kaggle.com/renxingkai,2,2,1,19698,China,Hunan,Changsha,Student,CSU,2022-09,Rainbow Cat (renxingkai),[Rank: 443] Rainbow Cat (renxingkai),443.0
371,master,atom1231,https://www.kaggle.com/atom1231,2,13,6,19682,Taiwan,UNKOWN,Hsinchu,UNKOWN,UNKOWN,2022-09,atom1231 (atom1231),[Rank: 444] atom1231 (atom1231),444.0
372,expert,Sandiago,https://www.kaggle.com/sandiago21,0,14,2,19646,Greece,UNKOWN,Athens,Machine Learning Engineer,UNKOWN,2022-09,Sandiago (sandiago21),[Rank: 446] Sandiago (sandiago21),446.0
373,grandmaster,Ern,https://www.kaggle.com/erniechiew,6,10,1,19600,Malaysia,Federal Territory of Kuala Lumpur,Kuala Lumpur,UNKOWN,UNKOWN,2022-09,Ern (erniechiew),[Rank: 267] Ern (erniechiew),267.0
374,master,Santiago Mota,https://www.kaggle.com/santiagomota,1,6,13,19532,Spain,Community of Madrid,Madrid,Data Scientist,Freelance,2022-09,Santiago Mota (santiagomota),[Rank: 419] Santiago Mota (santiagomota),419.0
375,master,YYama,https://www.kaggle.com/yosukeyama,1,7,2,19522,Japan,Saitama,Saitama,resident to-be Radiologist,general hospital,2022-09,YYama (yosukeyama),[Rank: 327] YYama (yosukeyama),327.0
376,expert,Vincent Debout,https://www.kaggle.com/vdebout,1,1,0,19504,France,Occitanie,Toulouse,UNKOWN,UNKOWN,2022-09,Vincent Debout (vdebout),[Rank: 452] Vincent Debout (vdebout),452.0
377,master,Draconda,https://www.kaggle.com/ryunosukeishizaki,3,8,2,19484,Japan,Aichi,Nagoya,CEO,BabaConda Tech,2022-09,Draconda (ryunosukeishizaki),[Rank: 425] Draconda (ryunosukeishizaki),425.0
378,master,Wojtek Rosa,https://www.kaggle.com/wrrosa,1,2,0,19458,Poland,Lublin Voivodeship,Lublin,Data Scientist,Sternkraft,2022-09,Wojtek Rosa (wrrosa),[Rank: 453] Wojtek Rosa (wrrosa),453.0
379,grandmaster,Vlad Golubev,https://www.kaggle.com/golubev,7,10,11,19441,Vietnam,Hanoi,Hanoi,ML Engineer,FPT.ai,2022-09,Vlad Golubev (golubev),[Rank: 454] Vlad Golubev (golubev),454.0
380,master,kazumax,https://www.kaggle.com/kazumax0720,1,9,3,19387,Japan,Kanagawa,Yokohama,Engineer,Japanese Company,2022-09,kazumax (kazumax0720),[Rank: 351] kazumax (kazumax0720),351.0
381,grandmaster,yuval reina,https://www.kaggle.com/yuval6967,6,7,1,19377,Israel,Tel Aviv District,Tel Aviv-Yafo,VP R&D,D-Fend,2022-09,yuval reina (yuval6967),[Rank: 457] yuval reina (yuval6967),457.0
382,master,housuke,https://www.kaggle.com/horsek,1,7,1,19352,Japan,Aichi,Nagoya,Mechanical Engineer,_,2022-09,housuke (horsek),[Rank: 458] housuke (horsek),458.0
383,master,Joe Cook-Shugart,https://www.kaggle.com/jleecook,2,1,2,19347,United States,Michigan,Detroit,"Actuary, FSA",Society of Actuaries,2022-09,Joe Cook-Shugart (jleecook),[Rank: 459] Joe Cook-Shugart (jleecook),459.0
384,expert,yao,https://www.kaggle.com/syhens,0,8,1,19319,China,Sichuan,Chengdu,student,SWUFE,2022-09,yao (syhens),[Rank: 460] yao (syhens),460.0
385,grandmaster,Kyle Lee,https://www.kaggle.com/kylelee,9,10,3,19266,Malaysia,Penang,George Town,UNKOWN,UNKOWN,2022-09,Kyle Lee (kylelee),[Rank: 463] Kyle Lee (kylelee),463.0
386,master,ln,https://www.kaggle.com/nazarov,3,11,3,19209,Russia,UNKOWN,Moscow,UNKOWN,UNKOWN,2022-09,ln (nazarov),[Rank: 464] ln (nazarov),464.0
387,master,scumed,https://www.kaggle.com/scusywxy,6,0,2,19207,China,Sichuan,Chengdu,Master,Sichuan University,2022-09,scumed (scusywxy),[Rank: 291] scumed (scusywxy),291.0
388,master,slime,https://www.kaggle.com/martynoveduard,1,2,0,19196,Russia,UNKOWN,Moscow,R&D in Audio,UNKOWN,2022-09,slime (martynoveduard),[Rank: 450] slime (martynoveduard),450.0
389,master,Phi,https://www.kaggle.com/ajinomoto132,2,8,13,19188,Vietnam,Hanoi,Hanoi,UNKOWN,UNKOWN,2022-09,Phi (ajinomoto132),[Rank: 447] Phi (ajinomoto132),447.0
390,grandmaster,Hidehisa Arai,https://www.kaggle.com/hidehisaarai1213,6,5,5,19158,Japan,Tokyo,Tokyo,ML Engineer,Recruit Co. Ltd,2022-09,Hidehisa Arai (hidehisaarai1213),[Rank: 465] Hidehisa Arai (hidehisaarai1213),465.0
391,master,Agastya Kumar,https://www.kaggle.com/ashusma,1,6,2,19103,India,Uttar Pradesh,Kanpur,UNKOWN,UNKOWN,2022-09,Agastya Kumar (ashusma),[Rank: 325] Agastya Kumar (ashusma),325.0
